MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate_Definition,3977,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate_Maximum,3980,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate_Minimum,3981,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate_Nominal,3982,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate_ValuePrecision,3978,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate_ValueRank,3983,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed,3990,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed_DataType,3993,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed_Definition,3991,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed_Maximum,3994,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed_Minimum,3995,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed_Nominal,3996,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed_ValuePrecision,3992,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessSpindleSpeed_ValueRank,3997,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProgramToolGroup,3949,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProgramToolNumber,3950,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ReconditionCount,3984,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ReconditionCount_DataType,3987,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ReconditionCount_Definition,3985,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ReconditionCount_MaximumCount,3988,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ReconditionCount_ValuePrecision,3986,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ReconditionCount_ValueRank,3989,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes,4006,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_CountDirection,4009,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_DataType,4010,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_Definition,4007,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_Initial,4011,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_Limit,4012,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_MTType,4013,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_ValuePrecision,4008,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_ValueRank,4014,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeMinutes_Warning,4015,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount,3956,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_CountDirection,3959,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_DataType,3960,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_Definition,3957,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_Initial,3961,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_Limit,3962,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_MTType,3963,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_ValuePrecision,3958,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_ValueRank,3964,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifePartCount_Warning,3965,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear,3966,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_CountDirection,3969,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_DataType,3970,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_Definition,3967,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_Initial,3971,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_Limit,3972,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_MTType,3973,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_ValuePrecision,3968,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_ValueRank,3974,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ToolLifeWear_Warning,3975,Variable
MTCuttingToolArchetypeType_Manufacturers,3711,Variable
MTCuttingToolArchetypeType_SerialNumber,3712,Variable
MTCuttingToolArchetypeType_ToolId,3713,Variable
MTCuttingToolConstraintType,3717,VariableType
MTCuttingToolConstraintType_DataType,3718,Variable
MTCuttingToolConstraintType_Maximum,3719,Variable
MTCuttingToolConstraintType_Minimum,3720,Variable
MTCuttingToolConstraintType_Nominal,3721,Variable
MTCuttingToolConstraintType_ValueRank,3722,Variable
MTCuttingToolDefinitionType,3724,ObjectType
MTCuttingToolDefinitionType_Data,3727,Object
MTCuttingToolDefinitionType_Data_MimeType,4023,Variable
MTCuttingToolDefinitionType_Data_OpenCount,4024,Variable
MTCuttingToolDefinitionType_Data_Size,4025,Variable
MTCuttingToolDefinitionType_Data_UserWritable,4026,Variable
MTCuttingToolDefinitionType_Data_Writable,4027,Variable
MTCuttingToolDefinitionType_Format,3725,Variable
MTCuttingToolLifeCycleType,3728,ObjectType
MTCuttingToolLifeCycleType_ConnectionCodeMachineSide,3729,Variable
MTCuttingToolLifeCycleType_CutterStatus,3733,Variable
MTCuttingToolLifeCycleType_CutterStatus_Definition,4028,Variable
MTCuttingToolLifeCycleType_CutterStatus_EnumStrings,4030,Variable
MTCuttingToolLifeCycleType_CutterStatus_EnumValues,4031,Variable
MTCuttingToolLifeCycleType_CutterStatus_ValuePrecision,4029,Variable
MTCuttingToolLifeCycleType_Location,3740,Variable
MTCuttingToolLifeCycleType_Location_DataType,4071,Variable
MTCuttingToolLifeCycleType_Location_Definition,4069,Variable
MTCuttingToolLifeCycleType_Location_NegativeOverlap,4072,Variable
MTCuttingToolLifeCycleType_Location_PositiveOverlap,4073,Variable
MTCuttingToolLifeCycleType_Location_Type,4074,Variable
MTCuttingToolLifeCycleType_Location_ValuePrecision,4070,Variable
MTCuttingToolLifeCycleType_Location_ValueRank,4075,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate,3736,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate_DataType,4052,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate_Definition,4050,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate_Maximum,4053,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate_Minimum,4054,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate_Nominal,4055,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate_ValuePrecision,4051,Variable
MTCuttingToolLifeCycleType_ProcessFeedRate_ValueRank,4056,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed,3739,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed_DataType,4064,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed_Definition,4062,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed_Maximum,4065,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed_Minimum,4066,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed_Nominal,4067,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed_ValuePrecision,4063,Variable
MTCuttingToolLifeCycleType_ProcessSpindleSpeed_ValueRank,4068,Variable
MTCuttingToolLifeCycleType_ProgramToolGroup,3730,Variable
MTCuttingToolLifeCycleType_ProgramToolNumber,3731,Variable
MTCuttingToolLifeCycleType_ReconditionCount,3737,Variable
MTCuttingToolLifeCycleType_ReconditionCount_DataType,4059,Variable
MTCuttingToolLifeCycleType_ReconditionCount_Definition,4057,Variable
MTCuttingToolLifeCycleType_ReconditionCount_MaximumCount,4060,Variable
MTCuttingToolLifeCycleType_ReconditionCount_ValuePrecision,4058,Variable
MTCuttingToolLifeCycleType_ReconditionCount_ValueRank,4061,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes,3741,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_CountDirection,4078,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_DataType,4079,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_Definition,4076,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_Initial,4080,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_Limit,4081,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_MTType,4082,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_ValuePrecision,4077,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_ValueRank,4083,Variable
MTCuttingToolLifeCycleType_ToolLifeMinutes_Warning,4084,Variable
